회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등 당첨금,1등 당첨수,2등 당첨금,2등 당첨수
1032,1,6,12,19,36,42,28,"2,675,257,538",10,"49,541,807",90
1031,6,7,22,32,35,36,19,"3,213,957,563",8,"66,957,450",64
1030,2,5,11,17,24,29,9,"1,276,406,507",19,"38,864,942",104
1029,12,30,32,37,39,41,24,"2,527,848,450",10,"67,952,916",62
1028,5,7,12,13,18,35,23,"1,181,235,132",20,"43,268,687",91
1027,14,16,27,35,39,45,5,"2,460,504,338",10,"49,407,718",83
1026,5,12,13,31,32,41,34,"1,619,118,475",15,"53,260,477",76
1025,8,9,20,25,29,33,7,"6,118,853,344",4,"59,119,356",69
1024,9,18,20,22,38,44,10,"3,020,323,500",8,"63,922,191",63
1023,10,14,16,18,29,35,25,"2,745,677,875",9,"57,201,623",72
1022,5,6,11,29,42,45,28,"4,866,468,075",5,"64,371,271",63
1021,12,15,17,24,29,45,16,"2,108,962,250",12,"75,320,081",56
1020,12,27,29,38,41,45,6,"1,966,431,520",13,"55,332,489",77
1019,1,4,13,17,34,39,6,"438,565,140",50,"48,729,460",75
1018,3,19,21,25,37,45,35,"12,361,744,688",2,"66,460,993",62
1017,12,18,22,23,30,34,32,"3,517,684,822",7,"58,628,081",70
1016,15,26,28,34,41,42,44,"2,260,660,671",11,"60,949,185",68
1015,14,23,31,33,37,40,44,"3,051,105,610",8,"39,883,734",102
1014,3,11,14,18,26,27,21,"2,410,449,338",10,"58,223,414",69
1013,21,22,26,34,36,41,32,"5,047,570,725",5,"53,244,417",79
1012,5,11,18,20,35,45,3,"1,861,944,318",13,"53,081,746",76
1011,1,9,12,26,35,38,42,"2,220,348,512",11,"53,561,039",76
1010,9,12,15,25,34,36,3,"3,119,380,079",8,"63,017,780",66
1009,15,23,29,34,40,44,20,"1,702,462,825",15,"61,683,436",69
1008,9,11,30,31,41,44,33,"2,267,377,910",11,"42,854,222",97
1007,8,11,16,19,21,25,40,"2,718,786,375",9,"58,259,709",70
1006,8,11,15,16,17,37,36,"2,855,602,125",9,"65,898,511",65
1005,8,13,18,24,27,29,17,"2,061,199,344",12,"49,076,175",84
1004,7,15,30,37,39,44,18,"2,576,251,913",10,"63,143,430",68
1003,1,4,29,39,43,45,31,"1,811,116,822",14,"64,029,383",66
1002,17,25,33,35,38,45,15,"3,088,449,563",8,"48,446,268",85
1001,6,10,12,14,20,42,15,"2,077,279,594",12,"62,947,867",66
1000,2,8,19,22,32,42,39,"1,246,819,620",22,"41,941,945",109
999,1,3,9,14,18,28,34,"1,513,274,790",16,"60,229,843",67
998,13,17,18,20,42,45,41,"2,076,499,657",12,"78,358,478",53
997,4,7,14,16,24,44,20,"1,253,749,560",19,"46,708,317",85
996,6,11,15,24,32,39,28,"1,491,185,771",18,"52,018,109",86
995,1,4,13,29,38,39,7,"3,447,271,875",7,"58,287,206",69
994,1,3,8,24,27,35,28,"1,861,582,063",12,"53,188,059",70
993,6,14,16,18,24,42,44,"3,991,197,063",6,"57,017,101",70
992,12,20,26,33,44,45,24,"1,986,955,563",12,"68,515,710",58
991,13,18,25,31,33,44,38,"2,904,166,032",8,"35,202,013",110
990,2,4,25,26,36,37,28,"1,740,095,277",14,"72,503,970",56
989,17,18,21,27,29,33,26,"5,826,768,563",4,"61,658,927",63
988,2,13,20,30,31,41,27,"2,678,489,375",9,"65,864,493",61
987,2,4,15,23,29,38,7,"2,378,711,625",10,"54,308,485",73
986,7,10,16,28,41,42,40,"2,375,275,125",10,"56,554,170",70
985,17,21,23,30,34,44,19,"2,434,752,975",10,"65,450,349",62
984,3,10,23,35,36,37,18,"3,453,006,268",7,"62,945,427",64
983,13,23,26,31,35,43,15,"2,503,422,225",10,"53,491,928",78
982,5,7,13,20,21,44,33,"3,023,630,672",8,"49,771,699",81
981,27,36,37,41,43,45,32,"1,992,863,193",13,"66,428,774",65
980,3,13,16,23,24,35,14,"3,409,443,215",7,"56,824,054",70
979,7,11,16,21,27,33,24,"1,606,400,518",14,"47,446,429",79
978,1,7,15,32,34,42,8,"2,373,391,388",10,"56,509,319",70
977,2,9,10,14,22,44,16,"1,669,905,911",14,"47,517,648",82
976,4,12,14,25,35,37,2,"3,243,867,215",7,"54,847,997",69
975,7,8,9,17,22,24,5,"2,440,410,375",9,"60,010,092",61
974,1,2,11,16,39,44,32,"1,317,034,523",17,"56,539,361",66
973,22,26,31,37,41,42,24,"2,912,742,750",8,"92,468,024",42
972,3,6,17,23,37,39,26,"1,124,886,244",20,"46,870,261",80
971,2,6,17,18,21,26,7,"3,725,880,250",6,"60,094,843",62
970,9,11,16,21,28,36,5,"1,611,544,045",14,"43,221,488",87
969,3,9,10,29,40,45,7,"1,149,427,894",20,"68,418,328",56
968,2,5,12,14,24,39,33,"1,667,729,683",13,"37,251,694",97
967,1,6,13,37,38,40,9,"5,809,776,094",4,"56,133,103",69
966,1,21,25,29,34,37,36,"2,411,303,513",10,"80,376,784",50
965,2,13,25,28,29,36,34,"3,403,348,929",7,"86,316,821",46
964,6,21,36,38,39,43,30,"2,345,861,063",10,"75,187,855",52
963,6,12,19,23,34,42,35,"1,476,478,125",15,"54,282,285",68
962,1,18,28,31,34,43,40,"1,940,906,094",12,"53,175,510",73
961,11,20,29,31,33,42,43,"2,575,231,209",9,"52,915,710",73
960,2,18,24,30,32,45,14,"2,401,133,213",10,"71,462,298",56
959,1,14,15,24,40,41,35,"3,015,312,891",8,"53,605,563",75
958,2,9,10,16,35,37,1,"1,596,119,675",15,"59,556,705",67
957,4,15,24,35,36,40,1,"2,126,634,137",11,"63,915,234",61
956,10,11,20,21,25,41,40,"2,022,982,671",11,"27,270,600",136
955,4,9,23,26,29,33,8,"2,023,170,188",12,"56,990,710",71
954,1,9,26,28,30,41,32,"2,478,795,900",10,"64,551,977",64
953,7,9,22,27,37,42,34,"1,640,636,009",14,"37,530,890",102
952,4,12,22,24,33,41,38,"2,713,699,834",9,"43,769,353",93
951,2,12,30,31,39,43,38,"1,747,552,661",14,"56,633,652",72
950,3,4,15,22,28,40,10,"3,281,920,500",8,"65,311,851",67
949,14,21,35,36,40,44,30,"2,458,569,713",10,"63,040,250",65
948,13,18,30,31,38,41,5,"2,188,548,716",11,"44,581,548",90
947,3,8,17,20,27,35,26,"1,275,855,750",18,"65,992,539",58
946,9,18,19,30,34,40,20,"2,157,656,182",11,"55,714,127",71
945,9,10,15,30,33,37,26,"1,765,554,491",13,"53,878,424",71
944,2,13,16,19,32,33,42,"1,961,836,356",13,"53,805,639",79
943,1,8,13,36,44,45,39,"3,435,045,108",7,"54,156,117",74
942,10,12,18,35,42,43,39,"3,761,680,313",6,"72,340,007",52
941,12,14,25,27,39,40,35,"1,347,297,422",16,"41,296,473",87
940,3,15,20,22,24,41,11,"2,846,071,079",8,"74,407,088",51
939,4,11,28,39,42,45,6,"1,708,363,039",13,"55,245,571",67
938,4,8,10,16,31,36,9,"2,249,466,563",10,"58,579,859",64
937,2,10,13,22,29,40,26,"2,058,420,819",11,"66,206,518",57
936,7,11,13,17,18,29,43,"1,492,069,179",14,"45,214,218",77
935,4,10,20,32,38,44,18,"1,711,055,424",13,"30,894,057",120
934,1,3,30,33,36,39,12,"5,765,772,844",4,"58,240,130",66
933,23,27,29,31,36,45,37,"2,927,797,079",8,"61,963,960",63
932,1,6,15,36,37,38,5,"3,390,022,983",7,"61,797,294",64
931,14,15,23,25,35,43,32,"2,957,108,063",8,"73,015,014",54
930,8,21,25,38,39,44,28,"2,832,418,829",8,"68,664,699",55
929,7,9,12,15,19,23,4,"1,308,035,157",16,"38,330,701",91
928,3,4,10,20,28,44,30,"3,134,591,358",7,"45,148,436",81
927,4,15,22,38,41,43,26,"3,714,203,875",6,"58,955,618",63
926,10,16,18,20,25,31,6,"2,032,490,663",10,"47,048,395",72
925,13,24,32,34,39,42,4,"1,771,080,532",12,"52,090,604",68
924,3,11,34,42,43,44,13,"2,382,430,667",9,"51,791,972",69
923,3,17,18,23,36,41,26,"2,667,554,625",8,"63,513,206",56
922,2,6,13,17,27,43,36,"3,417,904,500",6,"38,403,422",89
921,5,7,12,22,28,41,1,"1,232,573,405",17,"48,504,047",72
920,2,3,26,33,34,43,29,"3,120,260,197",7,"68,684,973",53
919,9,14,17,18,42,44,35,"4,305,150,450",5,"64,064,739",56
918,7,11,12,31,33,38,5,"1,117,622,646",18,"38,986,837",86
917,1,3,23,24,27,43,34,"2,144,799,638",10,"76,056,725",47
916,6,21,22,32,35,36,17,"2,025,384,341",11,"53,045,781",70
915,2,6,11,13,22,37,14,"3,518,640,500",6,"55,851,437",63
914,16,19,24,33,42,44,27,"1,950,005,557",11,"65,000,186",55
913,6,14,16,21,27,37,40,"1,338,755,602",16,"54,091,136",66
912,5,8,18,21,22,38,10,"1,493,500,581",14,"49,783,353",70
911,4,5,12,14,32,42,35,"2,113,538,625",10,"60,733,869",58
910,1,11,17,27,35,39,31,"941,316,375",21,"45,758,435",72
909,7,24,29,30,34,35,33,"2,021,062,875",11,"58,814,000",63
908,3,16,21,22,23,44,30,"2,834,856,141",8,"66,312,425",57
907,21,27,29,38,40,44,37,"3,165,059,036",7,"55,112,969",67
906,2,5,14,28,31,32,20,"2,472,607,250",9,"58,871,602",63
905,3,4,16,27,38,40,20,"3,017,862,536",7,"45,725,190",77
904,2,6,8,26,43,45,11,"2,718,077,813",8,"39,392,433",92
903,2,15,16,21,22,28,45,"1,684,582,212",13,"74,488,330",49
902,7,19,23,24,36,39,30,"1,619,317,529",13,"52,365,990",67
901,5,18,20,23,30,34,21,"2,267,974,667",9,"50,775,553",67
900,7,13,16,18,35,38,14,"3,349,851,375",6,"65,683,361",51
899,8,19,20,21,33,39,37,"3,359,356,063",6,"63,384,077",53
898,18,21,28,35,37,42,17,"2,639,313,235",8,"62,840,792",56
897,6,7,12,22,26,36,29,"1,619,922,520",13,"56,610,196",62
896,5,12,25,26,38,45,23,"3,053,222,036",7,"77,436,791",46
895,16,26,31,38,39,41,23,"1,928,079,219",12,"66,485,491",58
894,19,32,37,40,41,43,45,"2,377,935,959",9,"63,694,714",56
893,1,15,17,23,25,41,10,"2,377,433,625",9,"61,485,353",58
892,4,9,17,18,26,42,36,"1,282,017,464",17,"46,569,011",78
891,9,13,28,31,39,41,19,"3,082,673,947",7,"46,707,182",77
890,1,4,14,18,29,37,6,"2,335,486,167",9,"60,400,505",58
889,3,13,29,38,39,42,26,"2,108,986,950",10,"58,582,971",60
888,3,7,12,31,34,38,32,"2,370,359,204",8,"53,567,440",59
887,8,14,17,27,36,45,10,"2,535,268,688",8,"51,217,550",66
886,19,23,28,37,42,45,2,"2,974,643,786",7,"58,820,640",59
885,1,3,24,27,39,45,31,"1,543,832,568",13,"59,731,618",56
884,4,14,23,28,37,45,17,"1,799,077,282",12,"48,623,711",74
883,9,18,32,33,37,44,22,"1,360,519,525",15,"52,327,675",65
882,18,34,39,43,44,45,23,"4,127,270,400",5,"78,168,000",44
881,4,18,20,26,27,32,9,"2,503,212,282",8,"49,815,170",67
880,7,17,19,23,24,45,38,"2,837,810,465",7,"63,668,825",52
879,1,4,10,14,15,35,20,"3,206,361,313",6,"41,641,057",77
878,2,6,11,16,25,31,3,"3,207,993,500",6,"46,492,660",69
877,5,17,18,22,23,43,12,"1,716,607,188",12,"45,776,192",75
876,5,16,21,26,34,42,24,"1,090,657,856",19,"58,538,134",59
875,19,22,30,34,39,44,36,"1,415,946,724",14,"100,117,446",33
874,1,15,19,23,28,42,32,"1,117,123,917",18,"49,284,879",68
873,3,5,12,13,33,39,38,"1,874,553,225",10,"45,944,932",68
872,2,4,30,32,33,43,29,"1,262,705,579",16,"73,200,324",46
871,2,6,12,26,30,34,38,"2,718,071,358",7,"51,984,972",61
870,21,25,30,32,40,42,31,"1,928,842,988",10,"66,973,715",48
869,2,6,20,27,37,39,4,"1,922,582,588",10,"57,219,720",56
868,12,17,28,41,43,44,25,"3,233,804,250",6,"53,013,185",61
867,14,17,19,22,24,40,41,"3,933,755,250",5,"57,511,042",57
866,9,15,29,34,37,39,12,"2,240,409,000",9,"49,420,787",68
865,3,15,22,32,33,45,2,"1,551,729,145",13,"64,655,382",52
